iter	MultiClass
0	1.59738332
1	1.585413481
2	1.573704876
3	1.56610208
4	1.556897564
5	1.548938549
6	1.541019837
7	1.534324877
8	1.527206515
9	1.520700907
10	1.513823657
11	1.507920202
12	1.500689709
13	1.49818505
14	1.491018143
15	1.485999718
16	1.479231884
17	1.474919731
18	1.466508286
19	1.463052598
20	1.458620011
21	1.453291984
22	1.447782068
23	1.444055728
24	1.437494058
25	1.432439437
26	1.426542197
27	1.422792197
28	1.417912085
29	1.414174011
30	1.409196528
31	1.405863256
32	1.400780373
33	1.396276895
34	1.393312633
35	1.389245914
36	1.385670136
37	1.382459598
38	1.378411736
39	1.374910678
40	1.370458173
41	1.365888476
42	1.36381915
43	1.361160727
44	1.359698411
45	1.355346542
46	1.351921585
47	1.349433209
48	1.347915833
49	1.345023977
50	1.341557134
51	1.339374997
52	1.33703096
53	1.334443565
54	1.332042825
55	1.329758144
56	1.327229309
57	1.325445959
58	1.322842936
59	1.320102814
60	1.317301423
61	1.313936184
62	1.310609793
63	1.306713987
64	1.303204718
65	1.299630396
66	1.296533744
67	1.295088353
68	1.293032561
69	1.290379566
70	1.288153435
71	1.283983316
72	1.282129613
73	1.280463854
74	1.277510714
75	1.275918368
76	1.272406307
77	1.268729075
78	1.266271321
79	1.262638768
80	1.261697487
81	1.260406425
82	1.258646556
83	1.257108165
84	1.254736672
85	1.252797098
86	1.249784271
87	1.247346713
88	1.244827944
89	1.241582578
90	1.240377504
91	1.236714949
92	1.234323392
93	1.233369241
94	1.230836656
95	1.229160789
96	1.228458316
97	1.224815917
98	1.222222572
99	1.220267949
