iter	Passed	Remaining
0	2	282
1	5	266
2	7	242
3	9	235
4	12	234
5	14	226
6	16	215
7	18	210
8	20	208
9	23	209
10	26	210
11	28	210
12	31	209
13	33	207
14	36	204
15	38	202
16	41	201
17	43	200
18	46	198
19	49	197
20	51	194
21	54	191
22	56	190
23	59	188
24	62	186
25	64	183
26	67	183
27	70	181
28	73	179
29	75	177
30	78	174
31	81	172
32	83	169
33	86	166
34	88	163
35	90	161
36	92	157
37	95	155
38	97	152
39	99	149
40	102	147
41	104	144
42	106	141
43	109	138
44	111	136
45	113	133
46	116	130
47	118	128
48	120	125
49	122	122
50	125	120
51	127	118
52	130	115
53	132	112
54	134	110
55	137	107
56	139	105
57	141	102
58	143	100
59	146	97
60	148	95
61	151	92
62	153	90
63	155	87
64	158	85
65	160	82
66	162	80
67	164	77
68	167	75
69	169	72
70	171	70
71	173	67
72	175	65
73	177	62
74	180	60
75	183	57
76	186	55
77	188	53
78	191	50
79	193	48
80	195	45
81	198	43
82	200	41
83	202	38
84	205	36
85	207	33
86	209	31
87	211	28
88	214	26
89	216	24
90	219	21
91	221	19
92	223	16
93	225	14
94	228	12
95	230	9
96	233	7
97	235	4
98	237	2
99	240	0
